"subj" "group" "tree" "cat" "rt"
0 0 0 0 694
0 0 0 0 1422
0 0 0 0 609
0 0 0 0 1283
0 0 0 0 984
0 0 0 0 848
0 0 0 0 1213
0 0 0 0 597
0 0 0 0 795
0 0 0 0 961
0 0 0 0 866
0 0 0 0 906
0 0 0 0 823
0 0 0 0 1338
0 0 0 0 894
0 0 0 0 486
0 0 0 0 853
0 0 0 0 639
0 0 0 0 584
0 0 0 0 938
0 0 0 0 809
0 0 0 0 751
0 0 0 1 743
0 0 0 1 1583
0 0 0 1 1299
0 0 0 1 620
0 0 0 1 1155
0 0 0 1 736
0 0 0 1 922
0 0 0 1 694
0 0 1 2 884
0 0 1 2 1438
0 0 1 2 914
0 0 1 2 905
0 0 1 2 1906
0 0 1 2 664
0 0 1 2 974
0 0 1 2 1106
0 0 1 2 1137
0 0 1 2 671
0 0 1 2 1222
0 0 1 2 941
0 0 1 2 950
0 0 1 3 610
0 0 1 3 633
0 0 1 3 586
0 0 1 3 992
0 0 1 3 1009
0 0 1 3 458
0 0 1 3 1043
0 0 1 3 876
0 0 1 3 2108
0 0 1 3 913
0 0 1 3 676
0 0 1 3 1409
0 0 1 3 669
0 0 1 3 719
0 0 1 3 668
0 0 1 3 1682
0 0 1 3 399
1 0 0 0 692
1 0 0 0 592
1 0 0 0 839
1 0 0 0 1040
1 0 0 0 443
1 0 0 0 819
1 0 0 0 695
1 0 0 0 921
1 0 0 0 470
1 0 0 0 869
1 0 0 0 890
1 0 0 0 830
1 0 0 0 572
1 0 0 0 776
1 0 0 0 581
1 0 0 0 956
1 0 0 0 926
1 0 0 0 602
1 0 0 0 1179
1 0 0 0 767
1 0 0 0 832
1 0 0 0 1089
1 0 0 1 891
1 0 0 1 886
1 0 0 1 772
1 0 0 1 733
1 0 0 1 579
1 0 0 1 838
1 0 0 1 406
1 0 0 1 593
1 0 1 2 890
1 0 1 2 655
1 0 1 2 864
1 0 1 2 850
1 0 1 3 975
1 0 1 3 466
1 0 1 3 727
1 0 1 3 341
1 0 1 3 395
1 0 1 3 474
1 0 1 3 647
1 0 1 3 983
1 0 1 3 410
1 0 1 3 596
1 0 1 3 418
1 0 1 3 635
1 0 1 3 970
1 0 1 3 473
1 0 1 3 938
1 0 1 3 463
1 0 1 3 500
1 0 1 3 541
1 0 1 3 805
1 0 1 3 1038
1 0 1 3 629
1 0 1 3 371
1 0 1 3 875
1 0 1 3 568
1 0 1 3 632
1 0 1 3 679
2 0 0 0 1318
2 0 0 0 597
2 0 0 0 535
2 0 0 0 590
2 0 0 0 498
2 0 0 0 932
2 0 0 0 855
2 0 0 0 605
2 0 0 0 1971
2 0 0 0 543
2 0 0 0 646
2 0 0 0 1218
2 0 0 0 702
2 0 0 0 988
2 0 0 0 819
2 0 0 0 1882
2 0 0 0 586
2 0 0 0 1133
2 0 0 0 701
2 0 0 0 1046
2 0 0 1 885
2 0 0 1 1035
2 0 0 1 954
2 0 0 1 1146
2 0 0 1 730
2 0 0 1 897
2 0 0 1 761
2 0 0 1 605
2 0 0 1 663
2 0 0 1 1290
2 0 1 2 814
2 0 1 2 819
2 0 1 2 794
2 0 1 2 760
2 0 1 2 1249
2 0 1 3 608
2 0 1 3 583
2 0 1 3 564
2 0 1 3 711
2 0 1 3 614
2 0 1 3 553
2 0 1 3 1000
2 0 1 3 351
2 0 1 3 452
2 0 1 3 539
2 0 1 3 534
2 0 1 3 639
2 0 1 3 1807
2 0 1 3 945
2 0 1 3 580
2 0 1 3 1057
2 0 1 3 567
2 0 1 3 404
2 0 1 3 691
2 0 1 3 534
2 0 1 3 421
2 0 1 3 790
2 0 1 3 785
2 0 1 3 584
2 0 1 3 364
3 0 0 0 722
3 0 0 0 855
3 0 0 0 656
3 0 0 0 650
3 0 0 0 472
3 0 0 0 571
3 0 0 0 555
3 0 0 0 552
3 0 0 0 734
3 0 0 0 918
3 0 0 0 651
3 0 0 0 542
3 0 0 0 894
3 0 0 0 591
3 0 0 0 643
3 0 0 0 584
3 0 0 0 538
3 0 0 0 703
3 0 0 0 549
3 0 0 0 488
3 0 0 1 715
3 0 0 1 391
3 0 0 1 575
3 0 0 1 619
3 0 0 1 544
3 0 0 1 836
3 0 0 1 516
3 0 0 1 528
3 0 0 1 1223
3 0 0 1 551
3 0 1 2 533
3 0 1 2 653
3 0 1 2 605
3 0 1 2 531
3 0 1 2 592
3 0 1 2 902
3 0 1 2 903
3 0 1 2 753
3 0 1 2 764
3 0 1 2 415
3 0 1 3 821
3 0 1 3 606
3 0 1 3 648
3 0 1 3 583
3 0 1 3 650
3 0 1 3 725
3 0 1 3 680
3 0 1 3 383
3 0 1 3 499
3 0 1 3 537
3 0 1 3 929
3 0 1 3 397
3 0 1 3 543
3 0 1 3 431
3 0 1 3 405
3 0 1 3 477
3 0 1 3 617
3 0 1 3 520
3 0 1 3 738
3 0 1 3 786
4 0 0 0 337
4 0 0 0 1750
4 0 0 0 518
4 0 0 0 656
4 0 0 0 908
4 0 0 0 1079
4 0 0 0 878
4 0 0 0 779
4 0 0 0 553
4 0 0 0 1326
4 0 0 0 922
4 0 0 0 1368
4 0 0 0 1279
4 0 0 0 573
4 0 0 0 769
4 0 0 0 840
4 0 0 0 1180
4 0 0 0 1244
4 0 0 0 1006
4 0 0 1 850
4 0 0 1 1009
4 0 0 1 1357
4 0 0 1 583
4 0 0 1 1004
4 0 0 1 1531
4 0 0 1 1357
4 0 0 1 1378
4 0 0 1 1519
4 0 0 1 801
4 0 0 1 1140
4 0 1 2 1176
4 0 1 2 1333
4 0 1 2 2227
4 0 1 2 1697
4 0 1 2 1224
4 0 1 3 1152
4 0 1 3 649
4 0 1 3 437
4 0 1 3 735
4 0 1 3 1022
4 0 1 3 785
4 0 1 3 925
4 0 1 3 824
4 0 1 3 412
4 0 1 3 754
4 0 1 3 854
4 0 1 3 516
4 0 1 3 534
4 0 1 3 741
4 0 1 3 162
4 0 1 3 766
4 0 1 3 1094
4 0 1 3 568
4 0 1 3 1268
4 0 1 3 929
4 0 1 3 990
4 0 1 3 832
4 0 1 3 626
4 0 1 3 1418
4 0 1 3 1047
5 0 0 0 626
5 0 0 0 1047
5 0 0 0 817
5 0 0 0 820
5 0 0 0 731
5 0 0 0 926
5 0 0 0 660
5 0 0 0 637
5 0 0 0 591
5 0 0 0 802
5 0 0 0 647
5 0 0 0 712
5 0 0 0 560
5 0 0 0 587
5 0 0 0 672
5 0 0 0 638
5 0 0 0 669
5 0 0 0 853
5 0 0 0 988
5 0 0 1 775
5 0 0 1 636
5 0 0 1 659
5 0 0 1 829
5 0 0 1 754
5 0 0 1 1281
5 0 0 1 596
5 0 0 1 686
5 0 0 1 717
5 0 0 1 874
5 0 0 1 922
5 0 1 2 917
5 0 1 2 686
5 0 1 2 704
5 0 1 2 877
5 0 1 2 781
5 0 1 2 817
5 0 1 2 670
5 0 1 2 1089
5 0 1 2 882
5 0 1 2 915
5 0 1 2 621
5 0 1 3 551
5 0 1 3 759
5 0 1 3 1043
5 0 1 3 858
5 0 1 3 721
5 0 1 3 633
5 0 1 3 1031
5 0 1 3 653
5 0 1 3 719
5 0 1 3 498
5 0 1 3 664
5 0 1 3 626
5 0 1 3 543
5 0 1 3 762
5 0 1 3 665
5 0 1 3 755
5 0 1 3 525
5 0 1 3 577
5 0 1 3 683
6 0 0 0 897
6 0 0 0 856
6 0 0 0 774
6 0 0 0 661
6 0 0 0 535
6 0 0 0 575
6 0 0 0 649
6 0 0 0 563
